"","DowJones","AllOrdinaries"
"246",3755,2061.3
"247",3751,2063.6
"248",3776,2051.6
"249",3847,2061.1
"250",3830,2077.8
"251",3881,2077.2
"252",3899,2111.8
"253",3917,2116.5
"254",3913,2122.1
"255",3901,2105.5
"256",3886,2107
"257",3892.5,2095.5
"258",3899,2103.6
"259",3886,2104.4
"260",3908,2089.1
"261",3875,2070.6
"262",3860,2032.9
"263",3880,2043.6
"264",3895,2050.5
"265",3954,2050.8
"266",3933,2059
"267",3937,2049.1
"268",3869,2045.1
"269",3852,2026.6
"270",3837,2028.2
"271",3832,2027.7
"272",3849,2030
"273",3863,2013.8
"274",3878,2014.2
"275",3855,2030.6
"276",3843,2028.7
"277",3847,2030.9
"278",3801,1998
"279",3787,1979.8
"280",3776,1976.3
"281",3797,1967.5
"282",3821,1988
"283",3877,2003.6
"284",3875,2002.6
"285",3890,1998.9
"286",3910,2006
"287",3924,2014.2
"288",3918,2003.4
"289",3936,2013.4
"290",3911,2016.3
"291",3891,2034.6
"292",3855,2034.2
