"","Chemicals","Coal","Petrol","Vehicles"
"116",12.802,67.89,16.218,6.416
"117",14.276,68.344,16.254,9.469
"118",13.986,71.723,16.818,11.073
"119",13.362,68.13,17.647,9.935
"120",14.457,71.647,17.963,8.296
"121",14.415,65.622,19.128,8.34
"122",15.125,70.446,19.425,9.406
"123",16.638,77.718,18.351,10.862
"124",15.765,35.816,18.024,11.119
"125",15.565,37.829,18.629,11.43
"126",16.14,61.083,19.015,12.158
"127",14.063,73.51,18.306,8.39
"128",14.738,78.248,18.988,8.53
"129",15.743,81.303,18.577,9.579
"130",14.31,84.784,18.853,10.511
"131",13.822,76.027,18.366,9.14
"132",14.133,75.966,18.47,7.516
"133",13.833,66.443,17.685,7.148
"134",14.861,70.344,16.917,8.727
"135",15.806,82.932,15.878,10.142
"136",15.132,73.155,16.553,10.538
"137",15.237,70.656,17.669,10.931
"138",15.514,71.231,18.161,11.624
"139",13.098,59.868,17.721,8.605
"140",14.102,72.091,17.377,8.69
"141",14.948,67.203,17.824,10.024
"142",13.269,70.068,17.473,9.432
"143",13.284,63.043,16.793,8.622
"144",13.719,62.177,16.379,7.694
"145",13.516,62.454,15.468,9.703
"146",14.64,60.394,14.425,11.56
"147",15.59,68.553,15.026,12.127
"148",14.763,61.552,15.659,11.729
"149",15.501,62.916,16.073,12.571
"150",16.344,61.445,17.092,13.71
"151",13.935,54.904,16.829,9.897
"152",15.188,72.891,16.896,11.304
"153",16.894,69.927,16.987,13.493
"154",15.551,71.34,16.2,14.372
"155",15.36,68.272,15.864,14.226
"156",15.927,63.354,16.051,12.593
"157",15.563,67.622,15.166,14.62
"158",16.485,73.408,15.294,16.005
"159",17.592,81.232,16.176,16.683
"160",17.036,72.511,16.291,15.487
"161",17.091,80.676,15.918,15.684
"162",17.861,76.094,16.349,15.962
"163",15.408,74.381,15.73,12
"164",16.329,90.365,15.551,13.769
"165",17.277,78.538,16.322,14.031
"166",15.855,69.419,15.427,16.078
"167",15.434,64.039,15.418,15.827
"168",16.299,63.475,15.371,13.149
"169",15.911,67.921,13.61,15.969
"170",16.618,66.897,14.16,16.628
"171",17.756,77.347,14.792,16.67
"172",17.138,76.241,15.252,16.487
"173",16.739,77.979,15.221,16.883
"174",17.663,72.731,15.651,16.201
"175",14.98,68.821,14.884,12.168
"176",15.933,79.212,15.253,14.01
"177",17.163,73.596,14.825,16.556
"178",15.903,79.711,14.776,17.404
"179",15.314,68.881,15.449,16.435
"180",16.194,69.593,15.262,13.123
"181",16.246,77.804,13.937,16.744
"182",16.943,72.209,12.002,17.41
"183",17.069,77.078,10.834,16.484
"184",17.32,74.333,10.568,17.103
"185",16.421,72.568,11.049,17.301
"186",16.979,72.071,10.246,17.301
"187",14.749,67.253,9.413,12.843
"188",16.141,75.912,9.682,13.748
"189",17.461,74.407,9.671,16.904
"190",15.934,79.412,8.991,17.342
"191",15.581,69.774,9.224,15.476
"192",16.246,73.201,9.261,15.424
"193",16.394,74.473,9.289,15.988
"194",17.353,71.447,9.333,19.244
"195",17.887,75.609,9.663,18.715
"196",17.784,70.768,9.907,17.78
"197",17.959,70.436,10.318,17.16
"198",18.705,76.78,10.772,17.349
"199",16.474,69.427,11.194,11.171
"200",17.652,80.348,11.176,13.438
"201",19.064,82.118,10.952,16.713
"202",17.78,85.63,10.984,18.369
"203",17.6,78.919,10.699,17.067
"204",18.053,79.246,10.241,14.055
"205",19.957,75.364,10.257,15.5
"206",20.942,76.778,10.047,18.475
"207",22.343,83.964,10.606,19.423
"208",22.053,75.351,10.891,18.686
"209",21.286,73.979,11.16,19.646
"210",22.504,76.448,11.651,19.733
"211",20.243,69.198,11.5,12.605
"212",21.897,88.206,11.713,16.616
"213",22.816,83.272,11.004,19.156
"214",21.879,80.853,10.86,21.348
"215",21.676,82.973,10.853,20.049
"216",22.102,80.324,10.873,18.02
"217",22.459,81.969,10.59,20.262
"218",23.136,75.04,10.728,21.789
"219",23.686,88.981,11.354,20.603
"220",23.971,77.145,12.618,21.928
"221",23.244,82.486,12.712,21.025
"222",24.264,78.544,13.077,19.346
"223",21.819,66.269,12.384,11.786
"224",22.661,90.824,12.35,19.082
"225",23.602,84.618,12.625,20.127
"226",22.187,89.574,12.777,20.217
"227",21.805,86.965,12.357,20.385
"228",22.353,72.554,12.738,16.653
"229",22.131,90.276,13.268,13.065
"230",23.19,81.756,12.571,20.275
"231",24.548,91.292,12.442,21.776
"232",24.252,82.88,12.687,20.26
"233",23.506,86.2,12.995,22.523
"234",24.736,84.276,13.039,23.033
"235",22.049,79.535,13.035,14.133
"236",24.493,91.515,16.683,20.11
"237",25.487,82.813,18.752,19.682
"238",24.26,93.078,19.604,22.197
"239",23.929,86.461,18.201,17.212
"240",23.031,75.487,16.08,11.784
"241",23.701,85.81,14.935,15.467
"242",24.205,82.592,13.261,17.002
"243",24.2,85.012,12.838,15.952
"244",24.971,79.324,13.509,18.767
"245",24.56,79.917,14.352,20.605
"246",24.992,76.896,14.136,19.809
"247",22.566,79.72,13.672,14.233
"248",24.037,88.818,14.394,19.311
"249",25.047,81.504,14.406,20.827
"250",24.115,90.23,14.587,23.388
"251",23.034,81.644,14.271,20.181
"252",22.59,79.244,12.981,14.344
