"","rate","error"
"203",136,3.9
"204",145,5.2
"205",146,5.7
"206",129,5.3
"207",131,2.4
"208",126,3.3
"209",127,4.5
"210",118,5.3
"211",144,4.1
"212",140,3.7
"213",127,2.2
"214",127,4.2
"215",138,2
"216",129,2.6
"217",143,5.8
"218",119,4.8
"219",122,3.1
"220",150,8
"221",155,3.4
"222",126,4.6
"223",125,4.5
"224",155,5.1
"225",139,4.7
"226",140,2
"227",135,3.8
"228",143,2.9
"229",125,3.6
"230",141,5.9
"231",145,3.5
"232",133,3.4
"233",129,4.8
"234",130,3.3
"235",132,4.3
"236",127,4.1
"237",135,5.2
"238",137,6.5
"239",145,5.6
"240",131,4.5
"241",153,3.8
"242",146,3.2
"243",123,6.3
"244",152,5.2
"245",115,2.9
"246",132,5.6
"247",134,3.7
"248",128,6.6
"249",146,3.4
"250",120,6.6
"251",133,3.9
"252",136,3.8
"253",142,5.4
"254",153,6.2
"255",153,3.7
"256",138,2.6
"257",114,3.4
"258",123,3.4
"259",134,1.9
"260",134,5.2
"261",130,4.8
"262",135,5.3
"263",119,5
"264",138,4.8
"265",119,5.5
"266",117,4.6
"267",137,3.2
"268",139,6.1
"269",148,6
"270",142,4.5
"271",134,4.9
"272",125,2.9
"273",131,5.3
"274",122,7.4
"275",138,3.4
"276",149,4.7
"277",117,4.7
"278",140,4.1
"279",144,3
"280",124,5.5
"281",142,5
"282",138,2.6
"283",142,2.8
"284",134,6.1
"285",140,4.5
"286",130,4.3
"287",132,3.6
"288",140,4.2
"289",146,5.2
"290",115,3.4
"291",126,6.3
"292",124,4
"293",139,3.1
"294",122,3.7
"295",130,3.1
"296",108,4.4
"297",142,4.9
"298",145,6.2
"299",143,5.4
"300",115,4.7
"301",137,4.1
"302",132,2.9
"303",134,4.2
"304",144,4.8
"305",145,5.3
"306",151,4.1
"307",128,6
"308",124,3.9
"309",118,3.3
"310",143,5.4
"311",139,4.4
"312",132,2.5
"313",116,3.9
"314",136,3.3
"315",163,2.4
"316",136,4.9
"317",118,5.3
"318",124,3.1
"319",145,5.7
"320",143,4.6
"321",140,6.2
"322",129,8.4
"323",135,6.3
"324",117,5.9
"325",125,4.3
"326",152,4
"327",142,2.6
"328",130,3.3
"329",158,7.5
"330",148,3.9
"331",134,3.3
"332",133,6.5
"333",158,4.3
"334",144,8.4
"335",142,5.4
"336",145,3.1
"337",133,2.9
"338",143,5.3
"339",138,4.7
"340",134,4
"341",133,7.5
"342",143,5.4
"343",133,3.5
"344",140,4.1
"345",121,6.1
"346",132,5.4
"347",151,5.1
"348",128,3.5
"349",136,1.4
"350",133,2.6
"351",151,4.3
"352",162,6.5
"353",132,3.3
"354",127,4.6
"355",134,7
"356",146,5.5
"357",127,7.2
"358",134,4.2
"359",154,2.1
"360",121,5.6
"361",127,3.4
"362",124,2.4
"363",140,4
"364",126,4.9
"365",142,4.6
"366",147,2.4
"367",137,4
"368",137,7.4
"369",162,3.9
"370",151,3.5
"371",150,3.6
"372",136,5.3
"373",131,3.2
"374",142,5.8
"375",142,4.8
"376",151,5.7
"377",140,3.6
"378",144,3.7
"379",128,4.2
"380",141,7.1
"381",141,4.4
"382",142,6.2
"383",134,7.9
"384",138,5
"385",122,5
"386",148,2.3
"387",116,6.2
"388",132,4
"389",132,4.6
"390",144,4.6
"391",131,2.4
"392",109,5.2
"393",130,3.6
"394",145,6.1
"395",125,4.7
"396",134,7.5
"397",109,3.7
"398",141,3
"399",141,3.7
"400",122,3.4
"401",135,6.7
"402",122,4.5
"403",139,4.8
"404",146,5.6
"405",138,4.2
"406",121,2.3
"407",142,6.4
"408",140,5
"409",145,4.5
"410",133,3.3
"411",135,4
"412",133,6.2
"413",139,3.8
"414",146,4.9
"415",139,2.3
"416",153,2.3
"417",143,4
"418",143,4.6
"419",126,3.7
"420",138,3.6
"421",133,2.5
"422",137,3.7
"423",138,4
"424",146,1.9
"425",143,4
"426",124,4.4
"427",143,7.3
"428",150,3.3
"429",145,2.9
"430",140,2.7
"431",120,4.2
"432",142,2.8
"433",120,4.1
"434",151,6.4
"435",128,3.9
"436",140,5.1
"437",150,6.8
"438",144,1.4
"439",126,4
"440",159,2.9
"441",147,4.4
"442",137,3.1
"443",138,4.3
"444",140,2.3
"445",134,3.9
"446",127,2.1
"447",137,4.3
"448",115,6.7
"449",147,3.9
"450",134,5
"451",126,3.2
"452",130,2.6
"453",128,3.2
"454",146,3.7
"455",144,6.6
"456",142,3.8
"457",147,4.9
"458",130,4.8
"459",140,6
"460",141,4.9
"461",147,4.6
"462",120,3.8
"463",142,4.6
"464",136,7.1
"465",138,4.8
"466",137,4.4
"467",134,5
"468",138,6.7
"469",121,3.6
"470",143,4.9
"471",140,5.6
"472",151,2.6
"473",150,5.5
"474",141,5.2
"475",137,3.7
"476",109,4.2
"477",129,5.4
"478",143,1.9
"479",139,7.5
"480",128,3.3
"481",140,4.3
"482",145,5.3
"483",137,4.2
"484",126,2.6
"485",133,3.9
"486",130,3.6
"487",129,4.7
"488",141,5.6
"489",135,4.7
"490",144,4.3
"491",161,4.4
"492",129,4.4
"493",143,5.2
"494",131,3.1
"495",137,5.6
"496",130,5.1
"497",150,3.5
"498",130,4.2
"499",127,2.3
"500",146,2.7
"501",153,2
"502",141,3.6
"503",138,3.8
"504",142,2.8
"505",120,3.8
"506",146,4.3
"507",141,4.8
"508",161,3.5
"509",139,6.9
"510",127,4.6
"511",140,6.1
"512",150,6.1
"513",146,5.1
"514",134,6.3
"515",150,4.6
"516",123,1.6
"517",135,5.5
"518",133,3.7
"519",137,2.9
"520",131,7.9
"521",143,3.8
"522",134,4.6
"523",128,6.2
"524",132,7.1
"525",148,5.8
"526",117,5.6
"527",146,5.9
"528",133,3.1
"529",126,2.8
"530",139,3.9
"531",138,2.7
"532",137,5.8
"533",124,3.1
"534",111,4.5
"535",152,7.7
"536",149,4.3
"537",140,3.6
"538",146,5.7
"539",135,5.8
"540",134,3.1
"541",141,3.4
"542",142,3.7
"543",152,3.6
"544",154,4.6
"545",141,5.8
"546",133,4.9
"547",137,2.4
"548",149,7.6
"549",135,3.7
"550",145,3.2
"551",154,4.5
"552",148,2.4
"553",142,5
"554",133,1.6
"555",127,5.3
"556",117,2.9
"557",149,2.8
"558",134,8.5
"559",130,7.2
"560",150,5.8
"561",153,5.1
"562",126,8
"563",143,4
"564",154,2.8
"565",146,3.1
"566",149,4.9
"567",155,5.6
"568",149,2
"569",138,3.1
"570",127,4.1
"571",133,2.9
"572",128,1.9
"573",125,3.3
"574",138,2.9
"575",133,4.4
"576",159,8.2
"577",153,4.5
"578",130,4.7
"579",143,3.3
"580",129,3.8
"581",123,4.6
"582",154,4.1
"583",126,4.6
"584",133,3.8
"585",128,4.7
"586",129,3.7
"587",136,3.5
"588",142,4.8
"589",144,4
"590",149,4.8
"591",122,2.7
"592",123,3.2
"593",139,4.3
"594",139,2.1
"595",146,4.5
"596",131,2
"597",139,5.4
"598",145,5.5
"599",133,5.2
"600",135,3.4
"601",139,4.2
"602",136,5
"603",148,3.2
"604",148,5
"605",151,6.6
"606",142,5.4
"607",129,1.6
"608",141,5.6
"609",155,5.1
"610",140,3
"611",141,6.1
"612",162,5.5
"613",149,4.4
"614",130,6
"615",162,4
"616",138,5.2
"617",150,5.3
"618",144,5.5
"619",148,5.8
"620",141,5.5
"621",113,4.8
"622",150,5.1
"623",141,4.3
"624",146,7.3
"625",135,3.4
"626",149,5.7
"627",162,3.2
"628",151,5.2
"629",134,5.1
"630",148,4.1
"631",135,4.3
"632",161,5.8
"633",163,3.7
"634",132,2.8
"635",134,4.8
"636",120,3.9
"637",137,3.1
"638",149,2.7
"639",131,4.5
"640",155,5.1
"641",132,3.8
"642",142,6.5
"643",176,4.6
"644",147,2.6
"645",113,3.5
"646",141,4.4
"647",162,1.8
"648",155,3.5
"649",125,5.1
"650",141,7.3
"651",131,4.5
"652",122,4
"653",149,3.2
"654",140,3.1
"655",149,2.5
"656",142,8
"657",134,3.6
"658",114,4.1
"659",137,6.2
"660",128,2.7
"661",141,4.8
"662",145,3.4
"663",155,3.1
"664",126,4.6
"665",137,2.6
"666",154,3.5
"667",150,2.7
"668",141,4.5
"669",140,3.1
"670",135,5.2
"671",142,3.5
"672",121,2.6
"673",122,2.1
"674",149,3
"675",134,5.2
"676",151,5.1
"677",154,5.1
"678",156,7.4
"679",128,8.4
"680",131,1.7
"681",136,3.8
"682",157,8.3
"683",172,4.3
"684",143,5.7
"685",145,5.7
"686",142,3.8
"687",140,3
"688",130,3.3
"689",140,5.4
"690",130,2.3
"691",158,5
"692",148,3.8
"693",152,5.8
"694",156,3.5
"695",140,3.4
"696",141,3
"697",135,6
"698",134,3.8
"699",146,4.2
"700",132,5.3
"701",127,2
"702",147,5.8
"703",141,5.1
"704",123,7.3
"705",137,2.4
"706",128,4.1
"707",132,4.4
"708",142,2.7
"709",144,3.2
"710",150,4.4
"711",153,6.1
"712",132,4.3
"713",136,3.3
"714",125,4.8
"715",145,5.6
"716",141,3.2
"717",148,5.4
"718",148,3.4
"719",155,7.5
"720",132,6.9
"721",132,3.6
"722",132,4.8
"723",146,2.3
"724",141,4.8
"725",138,4.6
"726",128,4.7
"727",123,4.1
"728",149,1.6
"729",125,5.9
"730",155,2.2
"731",114,4.9
"732",144,4.1
"733",130,4.3
"734",134,4.1
"735",167,7.9
"736",150,6.1
"737",128,4.8
"738",147,4.8
"739",120,3.9
"740",137,5.1
"741",119,3.3
"742",145,1.3
"743",137,4.8
"744",161,5.1
"745",155,3
"746",130,2.8
"747",147,4.7
"748",150,4.6
"749",144,3.9
"750",150,4.2
"751",150,4
"752",152,4.7
"753",155,4.2
"754",139,4
"755",128,3.5
"756",123,6.1
"757",165,3.3
"758",135,2.8
"759",146,4.6
"760",137,4.3
"761",130,3
"762",146,5.3
"763",146,4.1
"764",150,6.6
"765",138,5.3
"766",130,4
"767",140,2
"768",148,4.1
"769",115,4.8
"770",131,3.7
"771",139,6.1
"772",134,5.7
"773",124,2.9
"774",138,1.8
"775",150,2.4
"776",128,2.2
"777",168,9.7
"778",136,4.3
"779",126,7.6
"780",136,5.7
"781",130,4.1
"782",132,5.2
"783",138,5.5
"784",111,4.5
"785",124,4.5
"786",141,5.7
"787",151,5
"788",141,2.2
"789",145,3.6
"790",130,4.9
"791",132,6.4
"792",127,4.6
"793",143,4
"794",139,3.7
"795",164,6.1
"796",150,4
"797",138,3
"798",138,6.6
"799",125,4.7
"800",167,3.2
"801",147,3.4
"802",144,8.7
"803",151,5.2
"804",154,3.7
"805",123,3.8
"806",140,3.5
"807",141,3
"808",157,2.9
"809",145,3.9
"810",144,6.1
"811",165,4.8
"812",136,3.4
"813",133,3.9
"814",141,4.6
"815",152,3.2
"816",150,2.2
"817",145,4
"818",145,6.1
"819",135,3.3
"820",141,4.5
"821",131,2.7
"822",141,6.8
"823",137,5.8
"824",150,2.8
"825",138,2.8
"826",152,2.9
"827",138,4.6
"828",132,4.5
"829",159,4.2
"830",129,1.8
"831",162,3.8
"832",144,3.6
"833",159,5.9
"834",141,5.5
"835",135,5.8
"836",121,0.8
"837",153,4.9
"838",111,1.5
"839",152,2.8
"840",114,7.1
"841",168,5.3
"842",129,4.3
"843",129,4.3
"844",135,7.5
"845",142,3.4
"846",139,5.7
"847",156,5.7
"848",156,2.9
"849",151,6
"850",124,5.8
"851",127,2.9
"852",140,2.4
"853",155,4.8
"854",145,3.4
"855",165,5.1
"856",124,0.8
"857",145,2.9
"858",137,6.4
"859",145,4.2
"860",155,4.1
"861",134,5.8
"862",143,2.8
"863",144,2.8
"864",134,1.9
"865",142,5
"866",137,3.7
"867",136,2.9
"868",149,8.2
"869",147,4.1
"870",140,5.3
"871",136,4
"872",152,4.8
"873",138,2.8
"874",154,7.9
"875",134,2.7
"876",129,3.8
"877",130,5.6
"878",141,3.9
"879",129,3.2
"880",145,4.3
"881",125,3.3
"882",147,2.9
"883",139,5.5
"884",155,5.9
"885",135,1.5
"886",126,5.8
"887",134,4.5
"888",142,6.1
"889",139,4.5
"890",154,2.6
"891",129,5.4
"892",142,6.8
"893",141,7.5
"894",132,3.3
"895",135,5.1
"896",111,3.4
"897",127,3.4
"898",119,3
"899",120,3.1
"900",146,2.7
"901",138,4.2
"902",134,5.3
"903",142,6.5
"904",132,3.6
"905",143,5.7
"906",137,4.9
"907",129,4.2
"908",135,1.4
"909",137,5.7
"910",150,4.3
"911",116,2.3
"912",152,5.4
"913",137,4.4
"914",146,3.8
"915",149,8.8
"916",126,5.2
"917",135,5.3
"918",136,5.8
"919",121,2.7
"920",159,7.4
"921",135,1.9
"922",150,3.5
"923",156,9.9
"924",132,5.7
"925",141,4.3
"926",132,2.8
"927",116,4.6
"928",134,3.2
"929",139,7.3
"930",149,4.2
"931",128,5.8
"932",126,6.4
"933",138,3.8
"934",127,5.3
"935",150,5.7
"936",142,5.1
"937",128,2.3
"938",133,4.5
"939",134,4.4
"940",145,1.9
"941",143,2.5
"942",150,6.3
"943",139,5.3
"944",159,5.7
"945",144,5.7
"946",140,2.9
"947",131,5.7
"948",138,5.8
"949",144,3.3
"950",164,3.5
"951",133,2.5
"952",125,6
"953",127,5.8
"954",122,6.3
"955",124,4.8
"956",133,3.4
"957",142,3.7
"958",144,3.6
"959",118,5
"960",134,4.8
"961",125,4.7
"962",132,2.7
"963",132,5.4
"964",147,6.1
"965",164,6
"966",123,2.7
"967",140,6.2
"968",149,4.4
"969",137,5.8
"970",137,2.8
"971",131,3.3
"972",162,3.5
"973",122,4.4
"974",142,5
"975",146,5.1
"976",146,3.6
"977",141,8.1
"978",132,6.6
"979",148,5.7
"980",162,4
"981",140,5.8
"982",125,5.4
"983",138,2.4
"984",138,3.3
"985",129,5
"986",134,8.1
"987",136,4.9
"988",127,4.3
"989",135,2.9
"990",128,5.1
"991",131,5.6
"992",127,3.4
"993",147,3.8
"994",156,7.9
"995",130,1.2
"996",127,4.1
"997",125,4
"998",122,3.4
"999",138,4
"1000",131,4.2
"1001",145,4.6
"1002",143,3.8
"1003",147,5.4
"1004",130,4.1
"1005",123,3.4
"1006",147,4.3
"1007",136,4.8
"1008",114,5
"1009",113,6.1
"1010",140,6.3
"1011",141,3.4
"1012",141,3
"1013",123,5.2
"1014",113,5.3
"1015",150,3.5
"1016",136,3.3
"1017",156,4.8
"1018",143,4.2
"1019",143,5.8
"1020",150,8.5
"1021",147,5.9
"1022",133,3.3
"1023",133,6.9
"1024",138,5.5
"1025",130,5.5
"1026",127,3.3
"1027",154,7
"1028",149,6.1
"1029",130,4.5
"1030",145,5
"1031",148,6.5
"1032",156,7.3
"1033",142,3.8
"1034",148,3.8
"1035",118,4
"1036",139,4.6
"1037",139,5.4
"1038",129,3.6
"1039",132,5.1
"1040",121,4.4
"1041",148,2.3
"1042",129,4.6
"1043",151,3.1
"1044",107,4.4
"1045",145,5.3
"1046",150,7.5
"1047",135,3.1
"1048",127,3.5
"1049",138,2.8
"1050",121,4.9
"1051",117,2.3
"1052",125,4.8
"1053",168,7.4
"1054",143,3.9
"1055",134,3.6
"1056",138,4.2
"1057",134,4.1
"1058",127,3.1
"1059",140,5
"1060",138,7.2
"1061",143,6.7
"1062",125,3.1
"1063",149,6.7
"1064",137,3.3
"1065",132,3.7
"1066",136,3.4
"1067",127,5.1
"1068",136,4.3
"1069",134,2.3
"1070",148,3.1
"1071",136,3.5
"1072",143,3.1
"1073",132,3.7
"1074",148,5.7
"1075",119,4.4
"1076",141,4.6
"1077",132,1.7
"1078",130,5.7
"1079",145,3.3
"1080",141,4.5
"1081",131,4.7
"1082",127,2.3
"1083",119,7.4
"1084",126,6.6
"1085",141,2.6
"1086",138,3.7
"1087",128,2.7
"1088",118,3
"1089",138,4.5
"1090",130,7.2
"1091",137,3.9
"1092",124,5.4
"1093",125,5.1
"1094",134,4
"1095",127,6.2
"1096",136,3.1
"1097",124,5.2
"1098",131,3.1
"1099",129,5
"1100",123,4
"1101",145,4
"1102",138,2.3
"1103",129,3.6
"1104",142,5.5
"1105",144,3.4
"1106",145,3
"1107",150,6.5
"1108",141,6.6
"1109",117,5.2
"1110",144,5.4
"1111",136,5
"1112",133,2.1
"1113",136,3.4
"1114",146,5.3
"1115",140,3.5
"1116",130,5.3
"1117",123,2.4
"1118",130,2.5
"1119",129,7
"1120",145,3.3
"1121",131,5
"1122",130,2.5
"1123",138,4.7
"1124",144,2.8
"1125",127,4.8
"1126",140,3.1
"1127",146,4.3
"1128",115,2.9
"1129",150,4.9
"1130",134,3.4
"1131",137,3.5
"1132",116,5
"1133",147,7.8
"1134",140,3.4
"1135",134,4.2
"1136",136,2.7
"1137",148,5.4
"1138",136,6.5
"1139",114,4.9
"1140",120,4.2
"1141",146,5.1
"1142",131,3.8
"1143",124,5.4
"1144",139,6.7
"1145",119,2.3
"1146",139,6.4
"1147",124,5.5
"1148",141,3.7
"1149",135,5.2
"1150",126,5
"1151",150,6.1
"1152",147,5.4
"1153",122,6.5
"1154",151,7.9
"1155",149,3
"1156",145,2
"1157",131,7
"1158",141,6.3
"1159",134,3.4
"1160",123,3.9
"1161",156,5.4
"1162",140,4.5
"1163",131,4.7
"1164",133,4.1
"1165",133,3.3
"1166",149,2.1
"1167",126,2.1
"1168",164,2.9
"1169",135,5.8
"1170",147,5.8
"1171",145,3.4
"1172",149,4.9
"1173",131,3.9
"1174",143,3.5
"1175",133,5.3
"1176",122,3.4
"1177",148,2.5
"1178",142,2.4
"1179",124,4
"1180",133,5.7
"1181",145,1.8
"1182",142,5.7
"1183",156,6
"1184",124,5.5
"1185",130,7.9
"1186",131,1
"1187",141,7.4
"1188",132,1.7
"1189",136,7.7
"1190",154,3.6
"1191",141,1.2
"1192",148,5.3
"1193",139,3.8
"1194",141,4
"1195",122,4
"1196",118,4.5
"1197",126,5
"1198",148,2.7
"1199",127,3.5
"1200",141,6.7
"1201",131,2.1
"1202",127,5.6
"1203",132,5.4
"1204",140,5.2
"1205",164,6.6
"1206",140,1.8
"1207",135,5.7
"1208",141,3.3
"1209",142,2.1
"1210",150,4.7
"1211",124,2.3
"1212",143,4.7
"1213",135,4.8
"1214",132,6.1
"1215",111,3.6
"1216",140,5
"1217",133,4
"1218",113,3.5
"1219",118,2.3
"1220",132,7.5
"1221",135,2.6
"1222",137,4.9
"1223",118,3
"1224",123,3.6
"1225",131,5.3
"1226",148,5.6
"1227",134,0.8
"1228",140,5
"1229",139,5.1
"1230",141,9.3
"1231",134,2.9
"1232",129,3.1
"1233",153,5.2
"1234",143,6.1
"1235",134,3.7
"1236",127,6.1
"1237",137,8.3
"1238",144,5.8
"1239",119,4.5
"1240",138,2.9
"1241",126,4.9
"1242",137,4.8
"1243",115,6.6
"1244",124,5.9
"1245",140,4
"1246",147,5.6
"1247",146,5.4
"1248",139,5.6
"1249",126,5.5
"1250",151,5.7
"1251",156,2.8
"1252",152,3
"1253",145,5
"1254",142,4.5
"1255",142,3.7
"1256",136,3.8
"1257",135,4.8
"1258",139,2.6
"1259",145,2.9
"1260",144,3.5
"1261",124,3.9
"1262",120,2.2
"1263",124,6.4
"1264",129,3.7
"1265",143,4
"1266",120,3.2
"1267",150,4.9
"1268",135,3.8
"1269",142,2.8
"1270",143,3.8
"1271",138,4.3
"1272",135,5.8
"1273",133,3.7
"1274",145,2.6
"1275",119,5.1
"1276",135,3.8
"1277",137,4
"1278",117,5.3
"1279",133,5.8
"1280",139,4.1
"1281",149,3.3
"1282",108,6
"1283",140,3.7
"1284",129,6.2
"1285",159,4.2
"1286",118,3.2
"1287",161,7.1
"1288",117,5.4
"1289",134,2.8
"1290",132,4
"1291",140,3.8
"1292",137,2.9
"1293",132,1.9
"1294",133,6.3
"1295",150,4.8
"1296",124,4.8
"1297",125,6.4
"1298",144,5.4
"1299",125,5.7
"1300",129,5.5
"1301",141,5.3
"1302",106,6.4
"1303",131,4.2
"1304",126,3.3
"1305",119,2.4
"1306",112,3.4
"1307",136,2.7
"1308",148,6.9
"1309",139,4.1
"1310",151,2.6
"1311",153,4.2
"1312",145,1.5
"1313",154,5.9
"1314",120,3.3
"1315",117,5.8
"1316",147,2.7
"1317",127,6.9
"1318",118,5.1
"1319",119,4.7
"1320",126,2.4
"1321",149,2.5
"1322",147,6.3
"1323",127,4.5
"1324",122,4.4
"1325",147,5.8
"1326",115,5.6
"1327",128,5.6
"1328",138,4.8
"1329",135,4.1
"1330",120,2.6
"1331",130,3.3
"1332",125,4.9
"1333",138,4.7
"1334",126,6
"1335",152,5.8
"1336",131,2.9
"1337",121,3.3
"1338",135,6.1
"1339",150,5.8
"1340",131,4.2
"1341",154,6.3
"1342",140,3.3
"1343",148,4.1
"1344",140,3.3
"1345",115,2.8
"1346",139,5.3
"1347",144,8.4
"1348",158,3.1
"1349",123,4
"1350",125,4.2
"1351",122,2.8
"1352",141,4.1
"1353",106,3.7
"1354",139,6
"1355",127,4.1
"1356",136,3.4
"1357",151,3.2
"1358",126,3.8
"1359",133,4.1
"1360",136,5.4
"1361",123,4.6
"1362",140,1.5
"1363",140,4.7
"1364",131,2.7
"1365",146,2.1
"1366",150,1.8
"1367",126,2.2
"1368",164,3.7
"1369",149,6.5
"1370",140,5.3
"1371",137,6.3
"1372",123,3.9
"1373",137,5.5
"1374",142,3.6
"1375",140,7
"1376",144,4.7
"1377",160,4.7
"1378",151,3.5
"1379",132,3.7
"1380",140,3.8
"1381",137,3.5
"1382",126,3.8
"1383",119,2.8
"1384",132,4.3
"1385",142,5.5
"1386",142,5.7
"1387",134,3.3
"1388",129,4.6
"1389",132,5
"1390",124,2.1
"1391",141,3.7
"1392",141,3.3
"1393",121,4.2
"1394",141,2.2
"1395",126,5
"1396",136,2.2
"1397",145,2.8
"1398",114,5.2
"1399",134,4.5
"1400",142,4.3
"1401",107,4.8
"1402",146,5.2
"1403",115,4.5
"1404",142,4.1
"1405",118,3.3
"1406",120,4.9
"1407",147,2.4
"1408",141,2.9
"1409",120,2.8
"1410",155,5.7
"1411",123,4.1
"1412",147,4.8
"1413",134,2.5
"1414",137,6.1
"1415",146,3.5
"1416",128,3
"1417",162,5.3
"1418",137,2.8
"1419",131,2.3
"1420",123,4.7
"1421",121,6
"1422",150,6.6
"1423",110,5
"1424",148,3.5
"1425",125,2.6
"1426",140,4
"1427",156,6.5
"1428",149,4.1
"1429",123,4
"1430",127,6
"1431",130,3.3
"1432",133,4.5
"1433",147,4
"1434",125,1.3
"1435",142,3.3
"1436",141,3.1
"1437",121,4.1
"1438",133,4.3
"1439",134,4.5
"1440",155,5.2
"1441",141,2.3
